stage,task,algorithm,seed,fe
dev,tour_dev,nsga2_typed,74101,512
dev,rgv_dev,pool4,74102,512
dev,job_dev,refit32,74103,512
dev,tour_dev,fast_h0,74103,512
dev,tour_dev,pool4,74102,512
dev,rgv_dev,fast_h0,74102,512
dev,tour_dev,refit32,74103,512
dev,job_dev,local24,74103,512
dev,tour_dev,nsga2_typed,74103,512
dev,rgv_g1,local48,74104,512
dev,rgv_g1,bounded24,74101,512
dev,job_dev,refit32,74102,512
dev,tour_dev,pool4,74104,512
dev,job_dev,bounded24,74104,512
dev,job_dev,refit32,74101,512
dev,rgv_g1,pool4,74104,512
dev,tour_dev,fast_v10,74101,512
dev,tour_dev,local_all,74103,512
dev,rgv_dev,bounded24,74103,512
dev,rgv_dev,fast_v10,74103,512
dev,job_dev,local_all,74103,512
dev,rgv_g1,nsga2_typed,74102,512
dev,tour_dev,local24_refit32,74103,512
dev,tour_dev,refit32,74101,512
dev,job_dev,fast_v10,74101,512
dev,rgv_dev,fast_h0,74101,512
dev,rgv_g1,fast_h0,74102,512
dev,tour_dev,local24,74102,512
dev,rgv_g1,fast_v10,74104,512
dev,rgv_g1,fast_v10,74102,512
dev,rgv_dev,local24_refit32,74101,512
dev,job_dev,local24,74104,512
dev,job_dev,bounded24,74101,512
dev,tour_dev,bounded24,74102,512
dev,job_dev,local24_refit32,74103,512
dev,job_dev,nsga2_typed,74101,512
dev,job_dev,pool4,74103,512
dev,rgv_dev,bounded24,74101,512
dev,tour_dev,refit32,74104,512
dev,job_dev,local24_refit32,74102,512
dev,job_dev,local48,74103,512
dev,tour_dev,local48,74104,512
dev,rgv_g1,local24,74104,512
dev,rgv_dev,refit32,74103,512
dev,job_dev,fast_v10,74104,512
dev,tour_dev,local24,74103,512
dev,job_dev,fast_h0,74104,512
dev,rgv_g1,fast_v10,74103,512
dev,tour_dev,fast_v10,74103,512
dev,rgv_dev,local_all,74101,512
dev,rgv_dev,refit32,74102,512
dev,rgv_g1,bounded24,74103,512
dev,rgv_dev,local24_refit32,74103,512
dev,rgv_dev,local48,74103,512
dev,job_dev,fast_h0,74102,512
dev,tour_dev,refit32,74102,512
dev,job_dev,fast_v10,74103,512
dev,job_dev,fast_v10,74102,512
dev,rgv_g1,local24_refit32,74103,512
dev,job_dev,bounded24,74102,512
dev,rgv_g1,bounded24,74104,512
dev,rgv_dev,local24_refit32,74102,512
dev,rgv_dev,refit32,74101,512
dev,rgv_dev,fast_h0,74104,512
dev,rgv_g1,refit32,74104,512
dev,rgv_g1,pool4,74103,512
dev,tour_dev,fast_h0,74104,512
dev,rgv_g1,local_all,74103,512
dev,rgv_g1,bounded24,74102,512
dev,rgv_dev,local24,74103,512
dev,rgv_dev,local24_refit32,74104,512
dev,rgv_dev,local48,74101,512
dev,rgv_dev,local_all,74103,512
dev,tour_dev,local24_refit32,74102,512
dev,tour_dev,local48,74103,512
dev,job_dev,pool4,74102,512
dev,job_dev,local_all,74104,512
dev,job_dev,nsga2_typed,74104,512
dev,tour_dev,local24,74104,512
dev,job_dev,nsga2_typed,74102,512
dev,rgv_dev,nsga2_typed,74102,512
dev,rgv_g1,refit32,74101,512
dev,tour_dev,fast_h0,74101,512
dev,job_dev,refit32,74104,512
dev,tour_dev,bounded24,74101,512
dev,tour_dev,local24_refit32,74104,512
dev,rgv_g1,pool4,74101,512
dev,tour_dev,pool4,74103,512
dev,rgv_g1,local24,74103,512
dev,tour_dev,bounded24,74103,512
dev,rgv_g1,local_all,74104,512
dev,rgv_g1,fast_h0,74101,512
dev,job_dev,local24_refit32,74104,512
dev,rgv_g1,local24_refit32,74104,512
dev,rgv_dev,bounded24,74102,512
dev,rgv_g1,nsga2_typed,74101,512
dev,rgv_g1,local24_refit32,74102,512
dev,rgv_dev,nsga2_typed,74103,512
dev,job_dev,pool4,74101,512
dev,job_dev,local24,74102,512
dev,rgv_g1,local48,74103,512
dev,rgv_dev,bounded24,74104,512
dev,tour_dev,fast_h0,74102,512
dev,tour_dev,local24_refit32,74101,512
dev,job_dev,local48,74101,512
dev,tour_dev,local48,74102,512
dev,rgv_dev,fast_h0,74103,512
dev,rgv_dev,fast_v10,74101,512
dev,rgv_dev,local48,74102,512
