stage,task,seed,candidate,baseline,X,F,output_X,output_F
confirm,job_new1,74501,fast_h0,h0,True,True,True,True
confirm,job_new1,74502,fast_h0,h0,True,True,True,True
confirm,job_new1,74503,fast_h0,h0,True,True,True,True
confirm,job_new1,74504,fast_h0,h0,True,True,True,True
confirm,job_new1,74505,fast_h0,h0,True,True,True,True
confirm,job_new1,74506,fast_h0,h0,True,True,True,True
confirm,job_new1,74507,fast_h0,h0,True,True,True,True
confirm,job_new1,74508,fast_h0,h0,True,True,True,True
confirm,job_new1,74509,fast_h0,h0,True,True,True,True
confirm,job_new1,74510,fast_h0,h0,True,True,True,True
confirm,job_new1,74511,fast_h0,h0,True,True,True,True
confirm,job_new1,74512,fast_h0,h0,True,True,True,True
confirm,job_new2,74501,fast_h0,h0,True,True,True,True
confirm,job_new2,74502,fast_h0,h0,True,True,True,True
confirm,job_new2,74503,fast_h0,h0,True,True,True,True
confirm,job_new2,74504,fast_h0,h0,True,True,True,True
confirm,job_new2,74505,fast_h0,h0,True,True,True,True
confirm,job_new2,74506,fast_h0,h0,True,True,True,True
confirm,job_new2,74507,fast_h0,h0,True,True,True,True
confirm,job_new2,74508,fast_h0,h0,True,True,True,True
confirm,job_new2,74509,fast_h0,h0,True,True,True,True
confirm,job_new2,74510,fast_h0,h0,True,True,True,True
confirm,job_new2,74511,fast_h0,h0,True,True,True,True
confirm,job_new2,74512,fast_h0,h0,True,True,True,True
confirm,job_new3,74501,fast_h0,h0,True,True,True,True
confirm,job_new3,74502,fast_h0,h0,True,True,True,True
confirm,job_new3,74503,fast_h0,h0,True,True,True,True
confirm,job_new3,74504,fast_h0,h0,True,True,True,True
confirm,job_new3,74505,fast_h0,h0,True,True,True,True
confirm,job_new3,74506,fast_h0,h0,True,True,True,True
confirm,job_new3,74507,fast_h0,h0,True,True,True,True
confirm,job_new3,74508,fast_h0,h0,True,True,True,True
confirm,job_new3,74509,fast_h0,h0,True,True,True,True
confirm,job_new3,74510,fast_h0,h0,True,True,True,True
confirm,job_new3,74511,fast_h0,h0,True,True,True,True
confirm,job_new3,74512,fast_h0,h0,True,True,True,True
confirm,job_new4,74501,fast_h0,h0,True,True,True,True
confirm,job_new4,74502,fast_h0,h0,True,True,True,True
confirm,job_new4,74503,fast_h0,h0,True,True,True,True
confirm,job_new4,74504,fast_h0,h0,True,True,True,True
confirm,job_new4,74505,fast_h0,h0,True,True,True,True
confirm,job_new4,74506,fast_h0,h0,True,True,True,True
confirm,job_new4,74507,fast_h0,h0,True,True,True,True
confirm,job_new4,74508,fast_h0,h0,True,True,True,True
confirm,job_new4,74509,fast_h0,h0,True,True,True,True
confirm,job_new4,74510,fast_h0,h0,True,True,True,True
confirm,job_new4,74511,fast_h0,h0,True,True,True,True
confirm,job_new4,74512,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74501,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74502,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74503,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74504,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74505,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74506,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74507,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74508,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74509,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74510,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74511,fast_h0,h0,True,True,True,True
confirm,rgv_new1,74512,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74501,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74502,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74503,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74504,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74505,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74506,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74507,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74508,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74509,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74510,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74511,fast_h0,h0,True,True,True,True
confirm,rgv_new2,74512,fast_h0,h0,True,True,True,True
confirm,rgv_new3,74501,fast_h0,h0,True,True,True,True
confirm,rgv_new3,74502,fast_h0,h0,True,True,True,True
confirm,rgv_new3,74503,fast_h0,h0,True,True,True,True
confirm,rgv_new3,74504,fast_h0,h0,True,True,True,True
confirm,rgv_new3,74505,fast_h0,h0,True,True,True,True
