task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
tour_new2,local24,74504,15229,1176,23,750,25,748,32010,10.045278137128072,25.0
tour_new3,fast_h0,74501,10364,1274,37,732,0,0,0,3.8985695708712615,8.0
tour_new4,h0,74508,0,0,0,0,0,0,0,,
rgv_new3,refit32,74509,18700,2010,16,763,0,0,0,5.019255455712452,8.0
rgv_new1,local24,74506,18035,2810,16,745,70,691,38522,16.038107752956638,25.0
rgv_new1,refit32,74508,18966,2068,8,734,0,0,0,5.706199460916442,8.0
tour_new2,fast_h0,74507,10781,1371,28,729,0,0,0,4.639365918097754,8.0
rgv_new2,h0,74506,0,0,0,0,0,0,0,,
tour_new2,h0,74505,0,0,0,0,0,0,0,,
rgv_new2,local24,74509,14568,2104,14,776,50,740,33656,10.167088607594936,25.0
tour_new3,local24,74512,14593,1197,22,745,26,741,28380,9.322033898305085,25.0
rgv_new3,fast_h0,74511,11089,2385,13,768,0,0,0,6.189500640204866,8.0
tour_new3,h0,74502,0,0,0,0,0,0,0,,
tour_new3,fast_h0,74508,10079,1132,28,730,0,0,0,3.391820580474934,8.0
rgv_new4,local24,74504,15807,2829,15,741,94,662,32585,13.222222222222221,25.0
job_new3,fast_h0,74509,11039,1661,37,703,0,0,0,5.486486486486487,8.0
job_new2,fast_h0,74504,11430,1567,40,735,0,0,0,5.621935483870968,8.0
job_new3,local24,74509,17594,1681,42,731,43,730,30728,13.758085381630012,25.0
tour_new4,refit32,74503,19138,1471,42,731,0,0,0,4.927554980595084,8.0
rgv_new4,h0,74511,0,0,0,0,0,0,0,,
job_new1,fast_h0,74508,10706,1143,21,738,0,0,0,4.227931488801054,8.0
rgv_new1,fast_h0,74501,11290,2145,12,772,0,0,0,6.116071428571429,8.0
rgv_new4,fast_h0,74507,10401,2137,19,762,0,0,0,4.991037131882202,8.0
job_new3,refit32,74504,19449,1462,37,759,0,0,0,5.164572864321608,8.0
job_new2,fast_h0,74507,11223,1647,38,728,0,0,0,5.522193211488251,8.0
tour_new3,local24,74505,14378,1105,21,727,25,723,27814,9.148395721925134,25.0
job_new3,refit32,74506,19091,1716,60,707,0,0,0,5.224250325945241,8.0
