task,seed,X,F,output_X,output_F
job_new1,74501,True,True,True,True
job_new1,74502,True,True,True,True
job_new1,74503,True,True,True,True
job_new1,74504,True,True,True,True
job_new1,74505,True,True,True,True
job_new1,74506,True,True,True,True
job_new1,74507,True,True,True,True
job_new1,74508,True,True,True,True
job_new1,74509,True,True,True,True
job_new1,74510,True,True,True,True
job_new1,74511,True,True,True,True
job_new1,74512,True,True,True,True
job_new2,74501,True,True,True,True
job_new2,74502,True,True,True,True
job_new2,74503,True,True,True,True
job_new2,74504,True,True,True,True
job_new2,74505,True,True,True,True
job_new2,74506,True,True,True,True
job_new2,74507,True,True,True,True
job_new2,74508,True,True,True,True
job_new2,74509,True,True,True,True
job_new2,74510,True,True,True,True
job_new2,74511,True,True,True,True
job_new2,74512,True,True,True,True
job_new3,74501,True,True,True,True
job_new3,74502,True,True,True,True
job_new3,74503,True,True,True,True
job_new3,74504,True,True,True,True
job_new3,74505,True,True,True,True
job_new3,74506,True,True,True,True
job_new3,74507,True,True,True,True
job_new3,74508,True,True,True,True
job_new3,74509,True,True,True,True
job_new3,74510,True,True,True,True
job_new3,74511,True,True,True,True
job_new3,74512,True,True,True,True
job_new4,74501,True,True,True,True
job_new4,74502,True,True,True,True
job_new4,74503,True,True,True,True
job_new4,74504,True,True,True,True
job_new4,74505,True,True,True,True
job_new4,74506,True,True,True,True
job_new4,74507,True,True,True,True
job_new4,74508,True,True,True,True
job_new4,74509,True,True,True,True
job_new4,74510,True,True,True,True
job_new4,74511,True,True,True,True
job_new4,74512,True,True,True,True
rgv_new1,74501,True,True,True,True
rgv_new1,74502,True,True,True,True
rgv_new1,74503,True,True,True,True
rgv_new1,74504,True,True,True,True
rgv_new1,74505,True,True,True,True
rgv_new1,74506,True,True,True,True
rgv_new1,74507,True,True,True,True
rgv_new1,74508,True,True,True,True
rgv_new1,74509,True,True,True,True
rgv_new1,74510,True,True,True,True
rgv_new1,74511,True,True,True,True
rgv_new1,74512,True,True,True,True
rgv_new2,74501,True,True,True,True
rgv_new2,74502,True,True,True,True
rgv_new2,74503,True,True,True,True
rgv_new2,74504,True,True,True,True
rgv_new2,74505,True,True,True,True
rgv_new2,74506,True,True,True,True
rgv_new2,74507,True,True,True,True
rgv_new2,74508,True,True,True,True
rgv_new2,74509,True,True,True,True
rgv_new2,74510,True,True,True,True
rgv_new2,74511,True,True,True,True
rgv_new2,74512,True,True,True,True
rgv_new3,74501,True,True,True,True
rgv_new3,74502,True,True,True,True
rgv_new3,74503,True,True,True,True
rgv_new3,74504,True,True,True,True
rgv_new3,74505,True,True,True,True
rgv_new3,74506,True,True,True,True
rgv_new3,74507,True,True,True,True
rgv_new3,74508,True,True,True,True
rgv_new3,74509,True,True,True,True
rgv_new3,74510,True,True,True,True
rgv_new3,74511,True,True,True,True
rgv_new3,74512,True,True,True,True
rgv_new4,74501,True,True,True,True
rgv_new4,74502,True,True,True,True
rgv_new4,74503,True,True,True,True
rgv_new4,74504,True,True,True,True
rgv_new4,74505,True,True,True,True
rgv_new4,74506,True,True,True,True
rgv_new4,74507,True,True,True,True
rgv_new4,74508,True,True,True,True
rgv_new4,74509,True,True,True,True
rgv_new4,74510,True,True,True,True
rgv_new4,74511,True,True,True,True
rgv_new4,74512,True,True,True,True
tour_new1,74501,True,True,True,True
tour_new1,74502,True,True,True,True
tour_new1,74503,True,True,True,True
tour_new1,74504,True,True,True,True
tour_new1,74505,True,True,True,True
tour_new1,74506,True,True,True,True
tour_new1,74507,True,True,True,True
tour_new1,74508,True,True,True,True
tour_new1,74509,True,True,True,True
tour_new1,74510,True,True,True,True
tour_new1,74511,True,True,True,True
tour_new1,74512,True,True,True,True
tour_new2,74501,True,True,True,True
tour_new2,74502,True,True,True,True
tour_new2,74503,True,True,True,True
tour_new2,74504,True,True,True,True
tour_new2,74505,True,True,True,True
tour_new2,74506,True,True,True,True
tour_new2,74507,True,True,True,True
tour_new2,74508,True,True,True,True
tour_new2,74509,True,True,True,True
tour_new2,74510,True,True,True,True
tour_new2,74511,True,True,True,True
tour_new2,74512,True,True,True,True
tour_new3,74501,True,True,True,True
tour_new3,74502,True,True,True,True
tour_new3,74503,True,True,True,True
tour_new3,74504,True,True,True,True
tour_new3,74505,True,True,True,True
tour_new3,74506,True,True,True,True
tour_new3,74507,True,True,True,True
tour_new3,74508,True,True,True,True
tour_new3,74509,True,True,True,True
tour_new3,74510,True,True,True,True
tour_new3,74511,True,True,True,True
tour_new3,74512,True,True,True,True
tour_new4,74501,True,True,True,True
tour_new4,74502,True,True,True,True
tour_new4,74503,True,True,True,True
tour_new4,74504,True,True,True,True
tour_new4,74505,True,True,True,True
tour_new4,74506,True,True,True,True
tour_new4,74507,True,True,True,True
tour_new4,74508,True,True,True,True
tour_new4,74509,True,True,True,True
tour_new4,74510,True,True,True,True
tour_new4,74511,True,True,True,True
tour_new4,74512,True,True,True,True
