task,algorithm,seed,cycle,products,travel_seconds
rgv_g1,local24,74801,1-2-3-4-5-6-8-7,382.0,5128.0
rgv_g1,local24,74801,1-2-3-4-6-5,288.0,3544.0
rgv_g1,local24,74801,1-2-3-4,192.0,1940.0
rgv_g1,local24,74801,2-1,96.0,0.0
rgv_g1,fast_h0,74801,1-2-3-4-5-6-7-8,382.0,5128.0
rgv_g1,fast_h0,74801,2-1-3-4-6-5,288.0,3544.0
rgv_g1,fast_h0,74801,2-1-4-3,192.0,1940.0
rgv_g1,fast_h0,74801,2-1,96.0,0.0
rgv_g1,nsga2_typed,74801,2-1-3-4,192.0,1940.0
rgv_g1,nsga2_typed,74801,1-2,96.0,0.0
rgv_g1,nsga2_typed,74801,2-1-3-4-5-6,288.0,3544.0
rgv_g1,nsga2_typed,74801,2-1-3-4-5-6-7-8,382.0,5128.0
rgv_g1,fast_v10,74801,1-2-4-3-6-5-7-8,382.0,5128.0
rgv_g1,fast_v10,74801,2-1-3-4-5-6,288.0,3544.0
rgv_g1,fast_v10,74801,2-1-3-4,192.0,1940.0
rgv_g1,fast_v10,74801,1-2,96.0,0.0
rgv_g1,h0,74801,1-2-3-4-5-6-7-8,382.0,5128.0
rgv_g1,h0,74801,2-1-3-4-6-5,288.0,3544.0
rgv_g1,h0,74801,2-1-4-3,192.0,1940.0
rgv_g1,h0,74801,2-1,96.0,0.0
rgv_g2,local24,74801,2-4-3-5-6-7-8-1,359.0,5829.0
rgv_g2,local24,74801,2-1-4-3-5-6,276.0,4048.0
rgv_g2,local24,74801,1-3-4-2,185.0,2162.0
rgv_g2,local24,74801,2-1-3-4,184.0,2139.0
rgv_g2,local24,74801,1-2,93.0,0.0
rgv_g2,fast_h0,74801,1-3-4-6-5-7-8-2,359.0,5829.0
rgv_g2,fast_h0,74801,1-2-4-3-6-5,276.0,4048.0
rgv_g2,fast_h0,74801,1-3-4-2,185.0,2162.0
rgv_g2,fast_h0,74801,2-1-4-3,184.0,2139.0
rgv_g2,fast_h0,74801,1-2,93.0,0.0
rgv_g2,fast_v10,74801,1-3-4-5-6-8-7-2,359.0,5829.0
rgv_g2,fast_v10,74801,2-1-3-4-5-6,276.0,4048.0
