candidate,baseline,pairs,median_ratio,mean_ratio,min_ratio,max_ratio
fast_h0,h0,12,0.5196889834638867,0.517001017399807,0.4644121221647592,0.5648939255268162
fast_h0,fast_v10,12,1.21757785644572,1.2074729518360914,1.0140142373723033,1.4869941268145956
fast_h0,fast_v10_codec,12,3.187687183506405,3.109405741616945,2.515891321011311,3.5867937356553177
local24,h0,12,0.2802183546376007,0.2827504761328477,0.2379136847269351,0.31851568712924017
local24,fast_h0,12,0.5506813401992179,0.547705864085949,0.4722044716651846,0.6303490264983139
local24,fast_v10,12,0.6604613130191512,0.661469142155239,0.5297508445203882,0.8389075681620357
local24,fast_v10_codec,12,1.6328119440772888,1.6984627267461798,1.4554747089257554,2.0315688302529686
fast_v10_codec,fast_v10,12,0.3807123390436791,0.39074323280281814,0.33172842819828435,0.5015542574237425
local24,local24_no_cache,12,0.9664653039311626,0.9608466692691405,0.8387538666408699,1.114568156828732
refit32,fast_h0,12,1.0367608512913047,1.0612796419938015,0.9794127455801848,1.2415039086570647
nsga2_typed,fast_v10,12,0.8992209769939643,0.9305127090624197,0.6709832249446435,1.3566778183769683
nsga_local24,nsga2_typed,12,0.6729119439795717,0.6799075743886362,0.4866060134838361,0.9848713049219018
