task,algorithm,auc,final_gap,igd,recall
job_stress12,fast_h0,0.15782272304517111,0.011168544511644202,0.0038242884273949665,0.7592592592592592
job_stress12,fast_v10,0.2005250980425071,0.020756442007963106,0.00845319737026421,0.6944444444444445
job_stress12,h0,0.15782272304517111,0.011168544511644202,0.0038242884273949665,0.7592592592592592
job_stress12,local24,0.14570440099552848,0.005658660766586024,0.002606426703637764,0.8055555555555555
job_stress12,nsga2_typed,0.23475319783957185,0.021261242152925474,0.00865793568612441,0.5925925925925926
job_stress16,fast_h0,0.2678966854844121,0.02883383986963184,0.009448557437146047,0.5793650793650794
job_stress16,fast_v10,0.2992563245894307,0.03809043906503472,0.014403097038778708,0.4444444444444445
job_stress16,h0,0.2678966854844121,0.02883383986963184,0.009448557437146047,0.5793650793650794
job_stress16,local24,0.25499861887388314,0.02683581426610293,0.010552942180622346,0.5476190476190476
job_stress16,nsga2_typed,0.40537598397731167,0.05242885433691754,0.018548707188700452,0.4047619047619048
tour_stress12,fast_h0,0.195839271188925,0.0035163696987307157,0.0007789018114942531,0.9425287356321839
tour_stress12,fast_v10,0.2556567387991003,0.020828856363702724,0.0066894579141986805,0.7586206896551723
tour_stress12,h0,0.195839271188925,0.0035163696987307157,0.0007789018114942531,0.9425287356321839
tour_stress12,local24,0.17182448996750913,0.0,0.0,1.0
tour_stress12,nsga2_typed,0.2928937002222338,0.040810248373490114,0.014899529764847872,0.5747126436781609
tour_stress16,fast_h0,0.2761094287582059,0.04375660538913201,0.019739647713776665,0.3270440251572327
tour_stress16,fast_v10,0.3244462935041376,0.10094306111865092,0.04931130782227049,0.2327044025157233
tour_stress16,h0,0.2761094287582059,0.04375660538913201,0.019739647713776665,0.3270440251572327
tour_stress16,local24,0.24555540958256164,0.007972422147765041,0.004573081000469873,0.5220125786163522
tour_stress16,nsga2_typed,0.37897227295910424,0.03467122682450379,0.017248387348014486,0.34591194968553457
