task,kind,algorithm,seed,budget,fe,physical_calls,seconds,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd
job_stress12,job,local24,74702,2048,2048,2048,9.231739017000107,128,0,88,1503,114003,31,33029,2047,0.16089522871396042,0.001916064829894952,0.0008215178361111111,0.8888888888888888,False,32,36,0.0018776063549979774,0.0019160648271537638,0.0009380533660871235
job_stress12,job,nsga2_typed,74701,2048,2048,2048,4.662477566000007,0,0,0,0,0,0,0,2046,0.2780821871830969,0.022669015751886443,0.007444614278492281,0.6111111111111112,False,26,36,0.022669015751886443,0.02266901576826014,0.0073821472046585795
job_stress12,job,local24,74703,2048,2048,2048,9.210832458999905,107,0,88,1497,112478,31,31010,2043,0.11394543633600375,0.01119628226289444,0.004461426920394549,0.75,False,32,36,0.01119628226289444,0.01119628226136119,0.004592958252383306
job_stress12,job,fast_h0,74702,2048,2048,2048,9.18437595599994,92,45107,0,0,0,31,12986,2048,0.16835714194155663,0.008002108170544774,0.002872160425000001,0.8055555555555556,False,31,36,0.008002108170544774,0.008002108177697342,0.0027945344691119897
job_stress12,job,local24,74701,2048,2048,2048,8.71261014599986,93,0,81,1540,117551,31,34226,2047,0.1622725379366213,0.0038636352069686803,0.002536335354407633,0.7777777777777778,False,32,36,0.0036978462669570453,0.0038636352094763393,0.0024677857549766716
job_stress12,job,fast_v10,74703,2048,2048,2048,4.016497483999956,0,0,0,0,0,0,0,2048,0.15953466672674607,0.03413434576474756,0.015213460096457458,0.5555555555555556,False,32,36,0.03412213206369339,0.034134345764939324,0.016088492047914887
job_stress12,job,h0,74701,2048,2048,2048,14.864832033000084,91,52539,0,0,0,31,12530,2047,0.1818562257418926,0.00912003804677827,0.003539182484962678,0.7222222222222222,False,29,36,0.00912003804677827,0.009120038052987374,0.0034435289072429344
job_stress12,job,fast_h0,74701,2048,2048,2048,9.716038039000068,91,52539,0,0,0,31,12530,2047,0.1818562257418926,0.00912003804677827,0.003539182484962678,0.7222222222222222,False,29,36,0.00912003804677827,0.009120038052987374,0.0034435289072429344
job_stress12,job,nsga2_typed,74703,2048,2048,2048,3.212265812999931,0,0,0,0,0,0,0,2046,0.18917598075030365,0.018629050422810583,0.007803990266269253,0.6388888888888888,False,29,36,0.018629050422810583,0.018629050435400474,0.007731810328708363
job_stress12,job,fast_v10,74702,2048,2048,2048,2.510669478999944,0,0,0,0,0,0,0,2047,0.22244706731482614,0.0030396292073781536,0.0015059906074492097,0.8333333333333334,False,31,36,0.0030396292073781536,0.003039629206619935,0.0016040268753306772
job_stress12,job,h0,74702,2048,2048,2048,13.540812039999992,92,45107,0,0,0,31,12986,2048,0.16835714194155663,0.008002108170544774,0.002872160425000001,0.8055555555555556,False,31,36,0.008002108170544774,0.008002108177697342,0.0027945344691119897
job_stress12,job,fast_v10,74701,2048,2048,2048,3.8535432359999504,0,0,0,0,0,0,0,2047,0.21959356008594913,0.02509535105176361,0.008640141406885963,0.6944444444444444,False,32,36,0.02509535105176361,0.025095351052188606,0.00877501934719239
job_stress12,job,h0,74703,2048,2048,2048,20.04943533899996,74,60041,0,0,0,31,11925,2046,0.12325480145206413,0.01638348731760956,0.005061522372222221,0.75,False,32,36,0.01638348731760956,0.01638348731396652,0.005176834906732354
job_stress12,job,nsga2_typed,74702,2048,2048,2048,3.320828221000056,0,0,0,0,0,0,0,2046,0.237001425585315,0.022485660284079396,0.010725202513611694,0.5277777777777778,False,28,36,0.022485660284079396,0.022485660294820804,0.010574070889291368
job_stress12,job,fast_h0,74703,2048,2048,2048,10.044565738000074,74,60041,0,0,0,31,11925,2046,0.12325480145206413,0.01638348731760956,0.005061522372222221,0.75,False,32,36,0.01638348731760956,0.01638348731396652,0.005176834906732354
job_stress16,job,h0,74702,2048,2048,2048,14.036816276999843,127,39756,0,0,0,31,13264,2048,0.30267821297442693,0.02894952536442595,0.010196063369798601,0.5,False,32,42,0.028836337296087144,0.028949525358992867,0.010196063366681149
job_stress16,job,nsga2_typed,74703,2048,2048,2048,3.716854891999901,0,0,0,0,0,0,0,2048,0.37240333614682536,0.04509823861932517,0.016609010062775233,0.4523809523809524,False,29,42,0.04509823861932517,0.045098238614533236,0.016609010060802024
job_stress16,job,local24,74702,2048,2048,2048,9.821852957000146,138,0,108,1480,160855,31,39009,2048,0.30290966239502337,0.020533438321585,0.008359263019187848,0.5238095238095238,False,32,42,0.018149510245487162,0.02053343834582459,0.00835926303068497
job_stress16,job,local24,74701,2048,2048,2048,8.773594618000061,157,0,110,1464,144897,31,37119,2048,0.24845844917865414,0.05145249632364664,0.01826631409201023,0.47619047619047616,False,32,42,0.051005774061073206,0.051452496330195795,0.018266314092974554
job_stress16,job,fast_h0,74703,2048,2048,2048,10.813574947999996,137,39714,0,0,0,31,13721,2048,0.22841407744098915,0.013561831534203917,0.004528182439735009,0.6666666666666666,False,32,42,0.009503160763751885,0.013561831536223347,0.004528182448404505
