task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
rgv_new2,rgv,nsga_local24,74502,1024,1024,1024,1.1932272770000054,0.16756038879533292,0.07167405139929976,0.11839277975,0.5,False,4,6,0.07167405139929976,0.07167405137790003,0.1183927797402774,293,0,113,647,44482,15,16356,1022
tour_new1,tour,fast_v10,74510,1024,1024,1024,1.9241695610000988,0.10187463829820206,0.0009417319916851072,0.0008124379838507439,0.8928571428571429,False,26,28,0.0009417319916851072,0.0009417319925521727,0.000812437985583836,0,0,0,0,0,0,0,994
rgv_new2,rgv,fast_v10,74505,1024,1024,1024,2.421003701000018,0.0716953548364532,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,0,0,0,0,0,0,0,986
tour_new2,tour,local24,74504,1024,1024,1024,1.5356218869999338,0.0910909227756065,0.0,0.0,1.0,True,17,17,0.0,0.0,3.0839528461809902e-18,32,0,25,748,32010,15,8725,966
rgv_new1,rgv,nsga2_typed,74503,1024,1024,1024,1.1070731490000298,0.21462298804471325,0.008543861945606988,0.002504405473056643,0.8,False,5,5,0.008543861945606988,0.008543861964532521,0.002504405476783931,0,0,0,0,0,0,0,1016
rgv_new2,rgv,nsga2_typed,74505,1024,1024,1024,1.107930056999976,0.10115539731899888,0.0018025045645556387,0.00047755491666665967,0.8333333333333334,False,5,6,0.0018025045645556387,0.0018025045726244961,0.00047755491881566287,0,0,0,0,0,0,0,1016
tour_new3,tour,fast_h0,74501,1024,1024,1024,3.2305594010000505,0.10616470087726944,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,35,45866,0,0,0,15,3958,962
tour_new1,tour,nsga2_typed,74502,1024,1024,1024,1.9368802480000795,0.11355332764826179,0.0004940740789065337,0.000661283597229498,0.9642857142857143,False,29,28,0.0004940740789065337,0.0004940740764422272,0.0006612835951428432,0,0,0,0,0,0,0,988
job_new4,job,nsga_local24,74503,1024,1024,1024,1.294668918999946,0.11848381206699277,0.009263730847068599,0.003295121237499998,0.9166666666666666,False,22,24,0.009263730847068599,0.009263730846219544,0.003163316388864938,47,0,60,698,25049,15,8826,961
tour_new4,tour,h0,74508,1024,1024,1024,4.416297106999991,0.07352221757766463,0.0,0.0,1.0,True,31,31,0.0,0.0,0.0,40,35672,0,0,0,15,5096,995
rgv_new1,rgv,nsga_local24,74502,1024,1024,1024,1.3840919830000757,0.15452998337770277,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,191,0,102,673,36875,15,14928,1020
rgv_new3,rgv,refit32,74509,1024,1024,1024,3.204652710000005,0.1345653050112108,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,163,36143,0,0,0,30,4870,978
rgv_new1,rgv,local24,74506,1024,1024,1024,1.5233004689999916,0.09454266826284699,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,145,0,70,691,38522,15,13165,1004
job_new1,job,fast_v10,74510,1024,1024,1024,2.528424137999991,0.15146791542081917,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,957
rgv_new1,rgv,refit32,74508,1024,1024,1024,3.1929698960000223,0.14058163447759248,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,97,29953,0,0,0,30,5194,1010
tour_new2,tour,fast_h0,74507,1024,1024,1024,2.535283124999978,0.08091313477640791,0.0,0.0,1.0,True,17,17,0.0,0.0,3.0839528461809902e-18,25,39254,0,0,0,15,4472,976
rgv_new2,rgv,h0,74506,1024,1024,1024,5.5209772279999925,0.09539886960561236,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,190,37956,0,0,0,15,4495,977
tour_new2,tour,h0,74505,1024,1024,1024,5.188252624000029,0.06965449879720503,0.0,0.0,1.0,True,17,17,0.0,0.0,3.0839528461809902e-18,18,41065,0,0,0,15,4538,981
tour_new2,tour,nsga_local24,74507,1024,1024,1024,1.3699004830000376,0.11257271599740204,0.0,0.0,1.0,True,17,17,0.0,0.0,0.0,70,0,79,694,29130,15,10845,976
rgv_new3,rgv,nsga2_typed,74507,1024,1024,1024,1.8372193989999914,0.16550304049045178,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,1003
rgv_new1,rgv,nsga_local24,74507,1024,1024,1024,1.3639129580000144,0.1045154229960878,0.008543861945606988,0.002504405473056643,0.8,False,5,5,0.008543861945606988,0.008543861964532521,0.002504405476783931,191,0,125,642,36654,15,15590,1016
rgv_new2,rgv,local24,74509,1024,1024,1024,2.701645052999993,0.12246013503168056,0.0,0.0,1.0,True,6,6,0.0,0.0,0.0,164,0,50,740,33656,15,8992,994
job_new3,job,fast_v10,74503,1024,1024,1024,1.9350007619999587,0.09107230583648776,0.01113720064800216,0.003253102914285713,0.7619047619047619,False,20,21,0.01113720064800216,0.011137200642219354,0.0032531029102557244,0,0,0,0,0,0,0,998
tour_new3,tour,local24,74512,1024,1024,1024,1.6435280119999334,0.08355424711466625,0.0,0.0,1.0,True,19,19,0.0,0.0,0.0,23,0,26,741,28380,15,8110,962
rgv_new3,rgv,fast_h0,74511,1024,1024,1024,3.1537887169999976,0.09092231393224401,0.0008061265610368792,0.0050000000000000044,0.75,False,5,4,0.0008061265610368792,0.0008061265618702589,0.0050000000000000044,173,27767,0,0,0,15,5794,1009
