task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
rgv_g2,rgv,fast_v10,74803,1024,1024,1024,4.82469108600003,0.09035610274714842,0.0018062327013312635,0.0006176016399999984,0.8,False,5,5,0.0018062327013312635,0.0018062327215525717,0.0006176016469377377,0,0,0,0,0,0,0,982
rgv_g2,rgv,h0,74804,1024,1024,1024,9.05974907399991,0.102947176975337,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,203,38472,0,0,0,15,4395,961
rgv_g3,rgv,h0,74803,1024,1024,1024,6.969898947000047,0.08888965016958403,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,174,35113,0,0,0,15,5029,993
rgv_g2,rgv,local24,74801,1024,1024,1024,1.3792060690000199,0.04899421972055522,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,155,0,68,709,35391,15,9107,983
rgv_g3,rgv,nsga2_typed,74804,1024,1024,1024,1.5404670330001409,0.13749646347137967,2.3251619551322546e-05,0.0004266211625000016,0.875,False,9,8,2.3251619551322546e-05,2.3251619649665917e-05,0.00042662116040956266,0,0,0,0,0,0,0,1017
rgv_g1,rgv,nsga2_typed,74804,1024,1024,1024,1.8227209500000754,0.138450651743298,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,1010
rgv_g3,rgv,local24,74803,1024,1024,1024,1.6991804330000377,0.08926250280613131,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,182,0,62,702,35114,15,9633,984
rgv_g1,rgv,local24,74801,1024,1024,1024,1.825661337000156,0.07344616041038257,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,167,0,70,687,35889,15,9886,976
rgv_g2,rgv,nsga2_typed,74803,1024,1024,1024,1.6277022450001368,0.13941495517238994,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,0,0,0,0,0,0,0,1015
rgv_g3,rgv,local24,74802,1024,1024,1024,1.9001352479999696,0.08664176107951833,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,163,0,60,733,36470,15,10270,994
rgv_g2,rgv,fast_v10,74804,1024,1024,1024,2.710298816999966,0.10582339100986124,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,0,0,0,0,0,0,0,971
rgv_g1,rgv,fast_v10,74803,1024,1024,1024,2.3904956429998947,0.07733907419629252,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,993
rgv_g2,rgv,local24,74802,1024,1024,1024,2.4244654770000125,0.05804471511789718,0.0018062327013312635,0.0006176016399999984,0.8,False,5,5,0.0018062327013312635,0.0018062327215525717,0.0006176016469377377,145,0,45,736,34874,15,8484,967
rgv_g3,rgv,fast_h0,74804,1024,1024,1024,3.6018592929999613,0.06399463186548934,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,210,37254,0,0,0,15,4787,982
rgv_g2,rgv,fast_h0,74801,1024,1024,1024,4.310950415999969,0.04808897554397777,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,215,38763,0,0,0,15,4425,973
rgv_g2,rgv,h0,74803,1024,1024,1024,9.058476308000081,0.09106067859278075,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,187,40902,0,0,0,15,4140,972
rgv_g3,rgv,fast_h0,74801,1024,1024,1024,4.232879099999991,0.09735799335877465,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,205,33133,0,0,0,15,5043,1006
rgv_g1,rgv,local24,74804,1024,1024,1024,1.6391658659999848,0.0700161629027273,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,138,0,49,731,37354,15,9152,978
rgv_g2,rgv,fast_v10,74802,1024,1024,1024,2.926626542000122,0.05557743023885242,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,0,0,0,0,0,0,0,985
rgv_g3,rgv,nsga2_typed,74801,1024,1024,1024,2.142778107999902,0.07275858065743808,0.0006812724495130036,0.0004541784375,0.875,False,8,8,0.0006812724495130036,0.0006812724557360233,0.0004541784416633024,0,0,0,0,0,0,0,1018
rgv_g1,rgv,h0,74804,1024,1024,1024,10.29009474899999,0.07019472974384161,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,216,38635,0,0,0,15,4687,991
rgv_g3,rgv,fast_v10,74803,1024,1024,1024,4.7765614909999385,0.11323518100683902,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,0,0,0,0,0,0,0,989
rgv_g3,rgv,nsga2_typed,74803,1024,1024,1024,3.7279073619999963,0.131550275116452,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,0,0,0,0,0,0,0,1022
rgv_g1,rgv,fast_h0,74804,1024,1024,1024,6.197459140000092,0.07019472974384161,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,216,38635,0,0,0,15,4687,991
rgv_g1,rgv,fast_h0,74801,1024,1024,1024,3.875566142000025,0.06661477784359819,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,193,42289,0,0,0,15,4278,974
rgv_g2,rgv,fast_h0,74804,1024,1024,1024,4.229156646000092,0.102947176975337,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,203,38472,0,0,0,15,4395,961
rgv_g2,rgv,local24,74803,1024,1024,1024,3.3057246089999808,0.11675505237131076,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,127,0,46,702,34063,15,8169,968
rgv_g2,rgv,local24,74804,1024,1024,1024,2.534727390999933,0.09434576136073274,0.0036124654611542164,0.0012352032999999984,0.8,False,5,5,0.0036124654611542164,0.003612465443104935,0.001235203293875431,162,0,62,711,34702,15,8571,972
rgv_g2,rgv,nsga2_typed,74804,1024,1024,1024,2.102306492000025,0.12927114494661215,0.0036185104162615948,0.0014067593000000045,0.8,False,6,5,0.0036185104162615948,0.0036185103986655968,0.0014067593069137184,0,0,0,0,0,0,0,1012
rgv_g1,rgv,fast_v10,74802,1024,1024,1024,4.801904155999864,0.047256826940120414,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,0,0,0,0,0,0,0,969
rgv_g3,rgv,fast_h0,74802,1024,1024,1024,2.7285726379998323,0.09402802557969422,0.0,0.0,1.0,True,8,8,0.0,0.0,0.0,192,33188,0,0,0,15,4978,996
