task,kind,algorithm,seed,budget,fe,physical_calls,seconds,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
job_new1,job,local24,74602,1024,1024,1024,1.0516049300001669,0.12981622093274897,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,19,0,27,744,24519,15,7868,959
job_new1,job,fast_v10_codec,74604,1024,1024,1024,0.6491902640000262,0.15635518808189086,0.0002126853933489996,0.0006271678250000023,0.95,False,19,20,0.0002126853933489996,0.00021268539408384306,0.0006271678268751745,0,0,0,0,0,0,0,948
job_new1,job,fast_v10_codec,74602,1024,1024,1024,0.6585119290000421,0.14657977533379152,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,948
rgv_new1,rgv,nsga_local24,74604,1024,1024,1024,0.8080541669999093,0.10731657012006275,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,161,0,104,670,42605,15,17244,1022
rgv_new1,rgv,refit32,74603,1024,1024,1024,1.7602586880000217,0.048742224883092045,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,97,26291,0,0,0,30,5642,1015
tour_new1,tour,refit32,74604,1024,1024,1024,1.7327063149998594,0.059207738072170404,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,30,32652,0,0,0,30,5148,997
tour_new1,tour,refit32,74602,1024,1024,1024,1.860168308000084,0.06770866448160026,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,40,35011,0,0,0,30,5227,990
job_new1,job,refit32,74602,1024,1024,1024,2.245237721000194,0.12956096156953117,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,21,44226,0,0,0,30,4212,946
tour_new1,tour,local24_no_cache,74601,1024,1024,1024,0.9446885780000684,0.07151196826823633,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,52,0,769,0,30317,15,11197,1010
tour_new1,tour,nsga_local24,74604,1024,1024,1024,0.9390034069999729,0.06786830580291507,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,72,0,69,695,27467,15,10628,969
tour_new1,tour,fast_v10_codec,74603,1024,1024,1024,0.5208369849999599,0.10958891730441685,2.9350164206356684e-05,6.893136428571395e-05,0.9642857142857143,False,27,28,2.9350164206356684e-05,2.935016541492027e-05,6.893136720775206e-05,0,0,0,0,0,0,0,994
rgv_new1,rgv,local24,74603,1024,1024,1024,0.904844723999986,0.0466916980132281,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,92,0,33,680,35592,15,9672,1005
tour_new1,tour,fast_h0,74604,1024,1024,1024,1.7649400029999924,0.05482446909761315,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,36,33529,0,0,0,15,5348,987
tour_new1,tour,h0,74601,1024,1024,1024,3.2606386889999612,0.08457397751219434,0.00035889448876713,0.00022346543571428564,0.9642857142857143,False,27,28,0.00035889448876713,0.00035889448911453437,0.00022346543629873878,55,32368,0,0,0,15,5435,1004
tour_new1,tour,fast_h0,74602,1024,1024,1024,1.8992690430000039,0.07226480410609036,0.00035889448876713,0.00022346543571428564,0.9642857142857143,False,27,28,0.00035889448876713,0.00035889448911453437,0.00022346543629873878,30,37277,0,0,0,15,5008,986
job_new1,job,nsga_local24,74603,1024,1024,1024,1.0452544530000978,0.09274998277676519,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,37,0,61,696,24926,15,9354,966
tour_new1,tour,fast_v10_codec,74602,1024,1024,1024,0.5891403970001647,0.08059568603171069,2.9350164206356684e-05,6.893136428571395e-05,0.9642857142857143,False,27,28,2.9350164206356684e-05,2.935016541492027e-05,6.893136720775206e-05,0,0,0,0,0,0,0,979
rgv_new1,rgv,h0,74601,1024,1024,1024,3.259164354999939,0.07290623283589384,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,101,30053,0,0,0,15,5562,1006
rgv_new1,rgv,h0,74604,1024,1024,1024,2.943693142000029,0.09098331353175076,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,142,30806,0,0,0,15,5565,1012
job_new1,job,refit32,74603,1024,1024,1024,2.0635543420000886,0.05657310062489479,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,16,43595,0,0,0,30,4277,962
job_new1,job,nsga2_typed,74601,1024,1024,1024,1.777491069000007,0.17106254105096197,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,955
rgv_new1,rgv,nsga2_typed,74602,1024,1024,1024,0.9029788469999858,0.17152762003136884,0.008543861945606988,0.002504405473056643,0.8,False,5,5,0.008543861945606988,0.008543861964532521,0.002504405476783931,0,0,0,0,0,0,0,1013
tour_new1,tour,nsga2_typed,74603,1024,1024,1024,1.5607058359998973,0.1368282230255463,0.008486965560806305,0.00481795120975243,0.75,False,27,28,0.008486965560806305,0.008486965574850982,0.004817951213592284,0,0,0,0,0,0,0,959
job_new1,job,local24_no_cache,74602,1024,1024,1024,1.0938583380000182,0.12981622093274897,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,19,0,771,0,24519,15,7868,959
tour_new1,tour,local24,74603,1024,1024,1024,0.9650691709998682,0.07801061629069371,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,38,0,37,724,29936,15,11232,992
job_new1,job,fast_v10,74602,1024,1024,1024,1.9850934470000539,0.14657977533379152,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,948
rgv_new1,rgv,nsga2_typed,74604,1024,1024,1024,1.0398573820000365,0.14619066116183344,0.0,0.0,1.0,True,5,5,0.0,0.0,0.0,0,0,0,0,0,0,0,1011
tour_new1,tour,refit32,74601,1024,1024,1024,1.6257173400001648,0.07892253633037428,0.0,0.0,1.0,True,28,28,0.0,0.0,0.0,50,31755,0,0,0,30,5490,990
tour_new1,tour,fast_v10,74603,1024,1024,1024,1.1503879659999257,0.10958891730441685,2.9350164206356684e-05,6.893136428571395e-05,0.9642857142857143,False,27,28,2.9350164206356684e-05,2.935016541492027e-05,6.893136720775206e-05,0,0,0,0,0,0,0,994
job_new1,job,local24_no_cache,74603,1024,1024,1024,1.1125365010000223,0.06257045191931747,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,27,0,779,0,26983,15,7810,974
job_new1,job,fast_v10,74601,1024,1024,1024,1.814462021000054,0.14231355635355009,0.0,0.0,1.0,True,20,20,0.0,0.0,0.0,0,0,0,0,0,0,0,955
tour_new1,tour,nsga2_typed,74601,1024,1024,1024,1.613983669000163,0.11624142175874394,0.0007148379017881231,0.0010327999472295008,0.8928571428571429,False,27,28,0.0007148379017881231,0.0007148378989304076,0.0010327999450821727,0,0,0,0,0,0,0,961
