task,kind,algorithm,seed,budget,fe,physical_calls,seconds,overrides,extra_pure_proposals,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,model_fits,predictions,unique_evaluated
tour_stress16,tour,fast_v10,74701,2048,2048,2048,2.692011076999961,0,0,0,0,0,0,0,2048
tour_stress16,tour,h0,74702,2048,2048,2048,16.12865499999998,238,31063,0,0,0,31,13928,2048
job_stress16,job,h0,74702,2048,2048,2048,14.036816276999843,127,39756,0,0,0,31,13264,2048
job_stress12,job,local24,74702,2048,2048,2048,9.231739017000109,128,0,88,1503,114003,31,33029,2047
job_stress16,job,nsga2_typed,74703,2048,2048,2048,3.716854891999901,0,0,0,0,0,0,0,2048
job_stress12,job,nsga2_typed,74701,2048,2048,2048,4.662477566000007,0,0,0,0,0,0,0,2046
job_stress16,job,local24,74702,2048,2048,2048,9.821852957000146,138,0,108,1480,160855,31,39009,2048
tour_stress12,tour,local24,74701,2048,2048,2048,9.321765309000057,96,0,62,1531,149982,31,35015,2047
tour_stress16,tour,nsga2_typed,74701,2048,2048,2048,2.0016701170000033,0,0,0,0,0,0,0,2048
job_stress16,job,local24,74701,2048,2048,2048,8.773594618000061,157,0,110,1464,144897,31,37119,2048
tour_stress16,tour,fast_v10,74702,2048,2048,2048,4.865166861000034,0,0,0,0,0,0,0,2048
tour_stress12,tour,fast_v10,74703,2048,2048,2048,4.1591962089999015,0,0,0,0,0,0,0,2048
job_stress12,job,local24,74703,2048,2048,2048,9.210832458999903,107,0,88,1497,112478,31,31010,2043
job_stress16,job,fast_h0,74703,2048,2048,2048,10.813574947999996,137,39714,0,0,0,31,13721,2048
job_stress12,job,fast_h0,74702,2048,2048,2048,9.18437595599994,92,45107,0,0,0,31,12986,2048
tour_stress16,tour,h0,74701,2048,2048,2048,12.369136365000031,180,39197,0,0,0,31,13452,2048
tour_stress16,tour,fast_h0,74703,2048,2048,2048,9.657425461999992,141,35670,0,0,0,31,13562,2048
job_stress12,job,local24,74701,2048,2048,2048,8.71261014599986,93,0,81,1540,117551,31,34226,2047
job_stress12,job,fast_v10,74703,2048,2048,2048,4.016497483999956,0,0,0,0,0,0,0,2048
tour_stress16,tour,nsga2_typed,74703,2048,2048,2048,2.099112600000126,0,0,0,0,0,0,0,2048
job_stress12,job,h0,74701,2048,2048,2048,14.864832033000084,91,52539,0,0,0,31,12530,2047
job_stress16,job,fast_v10,74702,2048,2048,2048,2.241704561000006,0,0,0,0,0,0,0,2048
job_stress16,job,nsga2_typed,74702,2048,2048,2048,1.2736226179999903,0,0,0,0,0,0,0,2048
job_stress12,job,fast_h0,74701,2048,2048,2048,9.716038039000068,91,52539,0,0,0,31,12530,2047
tour_stress12,tour,fast_h0,74701,2048,2048,2048,10.565650474999984,80,37555,0,0,0,31,13290,2048
tour_stress16,tour,fast_h0,74702,2048,2048,2048,10.095203794999861,238,31063,0,0,0,31,13928,2048
tour_stress16,tour,local24,74701,2048,2048,2048,10.636465594000128,244,0,187,1367,165960,31,37593,2048
tour_stress16,tour,local24,74702,2048,2048,2048,6.556238748999931,167,0,102,1511,179903,31,39738,2048
tour_stress16,tour,nsga2_typed,74702,2048,2048,2048,1.5692296990000614,0,0,0,0,0,0,0,2048
tour_stress12,tour,fast_v10,74702,2048,2048,2048,2.8942884950001826,0,0,0,0,0,0,0,2048
job_stress16,job,fast_h0,74701,2048,2048,2048,8.484130520000008,134,47510,0,0,0,31,12879,2048
job_stress12,job,nsga2_typed,74703,2048,2048,2048,3.212265812999931,0,0,0,0,0,0,0,2046
