task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,model_fits,surrogate_predictions,stage,overrides
tour_dev,tour,development,nsga2_typed,13103,512,512,512,0.2083544669999923,511,True,0.1349683547425884,0.0145137573263968,0.0072360436829985,0.5714285714285714,False,20.0,28.0,0.0145137573263968,0.0145137573254484,0.0072360436825484,0,0,0,0,dev,
rgv_g1,rgv,development,mission_one_step,13102,512,512,512,0.4574034290000099,512,True,0.140752832564645,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev,
job_dev,job,development,harness_no_uncertainty,13104,512,512,512,1.4303662230000214,511,True,0.149777199289126,0.0029328806896799,0.001335693659375,0.875,False,28.0,32.0,0.0029328806896799,0.0029328806924928,0.0013356936605136,0,112,7,2688,dev,
job_dev,job,development,surrogate_scalar,13104,512,512,512,1.5235969860000296,511,True,0.1353754970151912,0.0028749371326882,0.001468849065625,0.8125,False,28.0,32.0,0.0028749371326882,0.0028749371371136,0.0014688490657989,0,112,7,2688,dev,
tour_dev,tour,development,mission_one_step,13102,512,512,512,0.6103302719999988,512,True,0.1554176226900953,0.0176352201812832,0.0093487891357142,0.6785714285714286,False,19.0,28.0,0.0176352201812832,0.0176352201969503,0.0093487891444019,0,0,0,0,dev,
rgv_dev,rgv,development,nsga2_harness,13102,512,512,512,2.246985756999948,512,True,0.1697464567557662,0.0130885212854151,0.0159574468,0.75,False,3.0,4.0,0.0130885212854151,0.0130885212928798,0.0159574468085106,48,64,7,2688,dev,
rgv_dev,rgv,development,fast_v10,13102,512,512,512,0.3607572280000113,506,True,0.192459048577584,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev,
tour_dev,tour,development,harness_raw,13101,512,512,512,1.4753293989999747,512,True,0.1213908099379945,0.036873055212757,0.0229044260638188,0.6071428571428571,False,24.0,28.0,0.036873055212757,0.0368730552039653,0.0229044260602291,0,112,7,2688,dev,
rgv_g1,rgv,development,harness_raw,13103,512,512,512,2.468960159999994,512,True,0.1016074043855616,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,112,7,2688,dev,
rgv_g1,rgv,development,fast_v10,13104,512,512,512,0.3719735000000241,509,True,0.1535581831628782,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev,
rgv_dev,rgv,development,fast_v10,13101,512,512,512,0.3871615649999853,502,True,0.1810393912789208,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev,
tour_dev,tour,development,fast_v10,13103,512,512,512,0.2728064330000279,504,True,0.1123073345099684,0.0124632001979102,0.0061685035142857,0.7142857142857143,False,21.0,28.0,0.0124632001979102,0.0124632002055349,0.0061685035193116,0,0,0,0,dev,
tour_dev,tour,development,harness,13103,512,512,512,2.0280866530000026,512,True,0.0726537065516429,0.0059232698848018,0.00274262495,0.75,False,21.0,28.0,0.0059232698848018,0.0059232698712069,0.0027426249462272,16,96,7,2688,dev,
rgv_g1,rgv,development,harness_raw,13104,512,512,512,2.3372282589999718,511,True,0.1526344130461032,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,112,7,2688,dev,
rgv_g1,rgv,development,nsga2_typed,13104,512,512,512,0.1667588650000198,510,True,0.1653474453740679,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev,
rgv_g1,rgv,development,surrogate_hvi,13102,512,512,512,2.1199236580000047,512,True,0.1139747245513232,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,112,7,2688,dev,
tour_dev,tour,development,mission,13101,512,512,512,0.2850665809999668,512,True,0.1130232639959865,0.0123661722075363,0.0062556613357142,0.7142857142857143,False,20.0,28.0,0.0123661722075363,0.0123661722118848,0.0062556613381087,0,0,0,0,dev,
job_dev,job,development,nsga2_harness,13101,512,512,512,2.294661279999957,512,True,0.0766944278590339,0.0062670351577074,0.0030472753874999,0.75,False,24.0,32.0,0.0062670351577074,0.0062670351610495,0.0030472753870298,0,112,7,2688,dev,
job_dev,job,development,harness,13102,512,512,512,1.7035476259999882,512,True,0.0877153239287439,0.012379154621862,0.0058996185564589,0.6875,False,25.0,32.0,0.012379154621862,0.0123791546246822,0.0058996185540468,0,112,7,2688,dev,
rgv_g1,rgv,development,pool_random,13102,512,512,512,1.897894980999979,512,True,0.0859298100737741,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,0,0,dev,
rgv_dev,rgv,development,mission,13102,512,512,512,1.166268709999997,512,True,0.1048104430442572,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev,
job_dev,job,development,nsga2_typed,13103,512,512,512,0.1969384380000178,506,True,0.1598101354954481,0.0090301879678089,0.0053255020119115,0.6875,False,26.0,32.0,0.0090301879678089,0.0090301879596748,0.0053255020032804,0,0,0,0,dev,
tour_dev,tour,development,fast_v10,13101,512,512,512,0.2129322189999811,506,True,0.1429504990514961,0.0319715192316183,0.0188696472589163,0.5714285714285714,False,22.0,28.0,0.0319715192316183,0.031971519225492,0.0188696472624195,0,0,0,0,dev,
rgv_dev,rgv,development,nsga2_typed,13104,512,512,512,0.3153730850000329,510,True,0.3365064311066537,0.0164829017676958,0.011071623825,0.5,False,3.0,4.0,0.0164829017676958,0.0164829017921996,0.0110716238381629,0,0,0,0,dev,
