task,seed,base,candidate,full_equal
rgv_g1,13101,fast_v10,residual_off,True
rgv_g1,13101,residual_linear,guarded_linear,True
rgv_g1,13102,fast_v10,residual_off,True
rgv_g1,13102,residual_linear,guarded_linear,True
rgv_g1,13103,fast_v10,residual_off,True
rgv_g1,13103,residual_linear,guarded_linear,True
rgv_g1,13104,fast_v10,residual_off,True
rgv_g1,13104,residual_linear,guarded_linear,True
rgv_dev,13101,fast_v10,residual_off,True
rgv_dev,13101,residual_linear,guarded_linear,True
rgv_dev,13102,fast_v10,residual_off,True
rgv_dev,13102,residual_linear,guarded_linear,True
rgv_dev,13103,fast_v10,residual_off,True
rgv_dev,13103,residual_linear,guarded_linear,True
rgv_dev,13104,fast_v10,residual_off,True
rgv_dev,13104,residual_linear,guarded_linear,True
tour_dev,13101,fast_v10,residual_off,True
tour_dev,13101,residual_linear,guarded_linear,True
tour_dev,13102,fast_v10,residual_off,True
tour_dev,13102,residual_linear,guarded_linear,True
tour_dev,13103,fast_v10,residual_off,True
tour_dev,13103,residual_linear,guarded_linear,True
tour_dev,13104,fast_v10,residual_off,True
tour_dev,13104,residual_linear,guarded_linear,True
job_dev,13101,fast_v10,residual_off,True
job_dev,13101,residual_linear,guarded_linear,True
job_dev,13102,fast_v10,residual_off,True
job_dev,13102,residual_linear,guarded_linear,True
job_dev,13103,fast_v10,residual_off,True
job_dev,13103,residual_linear,guarded_linear,True
job_dev,13104,fast_v10,residual_off,True
job_dev,13104,residual_linear,guarded_linear,True
