task,seed,fe,train_fe,max_error
tour_h3,13501,65,64,1.1102230246251565e-16
tour_h3,13501,545,512,0.0
tour_h3,13501,1024,960,0.0
job_h1,13501,65,64,1.1102230246251565e-16
job_h1,13501,545,512,0.0
job_h1,13501,1024,960,0.0
tour_h2,13501,65,64,0.0
tour_h2,13501,545,512,2.220446049250313e-16
tour_h2,13501,1024,960,0.0
rgv_h2,13501,65,64,1.1102230246251565e-16
rgv_h2,13501,545,512,0.0
rgv_h2,13501,1024,960,0.0
rgv_h3,13501,65,64,1.1102230246251565e-16
rgv_h3,13501,545,512,4.440892098500626e-16
rgv_h3,13501,1024,960,1.1102230246251565e-16
job_h4,13501,65,64,5.551115123125783e-17
job_h4,13501,545,512,0.0
job_h4,13501,1024,960,2.220446049250313e-16
tour_h1,13501,65,64,1.1102230246251565e-16
tour_h1,13501,545,512,1.1102230246251565e-16
tour_h1,13501,1024,960,0.0
job_h3,13501,65,64,1.1102230246251565e-16
job_h3,13501,545,512,0.0
job_h3,13501,1024,960,5.551115123125783e-17
rgv_h4,13501,65,64,2.220446049250313e-16
rgv_h4,13501,545,512,1.1102230246251565e-16
rgv_h4,13501,1024,960,2.220446049250313e-16
job_h2,13501,65,64,1.1102230246251565e-16
job_h2,13501,545,512,2.220446049250313e-16
job_h2,13501,1024,960,2.220446049250313e-16
tour_h4,13501,65,64,1.1102230246251565e-16
tour_h4,13501,545,512,1.1102230246251565e-16
tour_h4,13501,1024,960,0.0
rgv_h1,13501,65,64,5.551115123125783e-17
rgv_h1,13501,545,512,0.0
rgv_h1,13501,1024,960,0.0
