task,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions
rgv_g1,fast_v10,13804.5,1024.0,1024.0,1024.0,0.7519518263750342,993.25,1.0,0.10851849265281631,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rgv_g1,guarded_linear,13804.5,1024.0,1024.0,1024.0,2.117087942000012,973.125,1.0,0.09416585645363422,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,219.375,15.0,4284.125
rgv_g1,no_uncertainty_linear,13804.5,1024.0,1024.0,1024.0,2.1897847179999985,976.375,1.0,0.09033284349691101,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,191.25,15.0,4339.25
rgv_g1,nsga2_guarded,13804.5,1024.0,1024.0,1024.0,1.1960576488750405,1020.625,1.0,0.10811436116870403,9.332989133315e-05,0.000121879875,0.96875,0.875,4.0,4.0,9.332989133315e-05,9.33298914835625e-05,0.000121879875195,0.0,0.0,377.875,15.0,6500.5
rgv_g1,nsga2_typed,13804.5,1024.0,1024.0,1024.0,0.5201854406250561,1012.125,1.0,0.14620234209494298,9.332989133315e-05,0.000121879875,0.96875,0.875,4.0,4.0,9.332989133315e-05,9.33298914835625e-05,0.000121879875195,0.0,0.0,0.0,0.0,0.0
rgv_g2,fast_v10,13804.5,1024.0,1024.0,1024.0,0.8931438716249716,984.75,1.0,0.10619377298685928,0.0006773372629992,0.00023160061499996251,0.925,0.625,5.0,5.0,0.0006773372629992,0.0006773372705821876,0.0002316006176016375,0.0,0.0,0.0,0.0,0.0
rgv_g2,guarded_linear,13804.5,1024.0,1024.0,1024.0,2.0748655788749772,976.0,1.0,0.09208274608349891,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,229.125,15.0,4533.25
rgv_g2,no_uncertainty_linear,13804.5,1024.0,1024.0,1024.0,2.095258740250017,977.75,1.0,0.09059377076767294,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,206.25,15.0,4589.25
rgv_g2,nsga2_guarded,13804.5,1024.0,1024.0,1024.0,1.285051438625004,1021.125,1.0,0.10720735789041012,0.000184915190608875,0.000197289415,0.95,0.75,5.0,5.0,0.000184915190608875,0.0001849151906034,0.000197289414993975,0.0,0.0,331.25,15.0,6431.875
rgv_g2,nsga2_typed,13804.5,1024.0,1024.0,1024.0,0.47718789737498923,1016.75,1.0,0.1190642238784515,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rgv_g3,fast_v10,13804.5,1024.0,1024.0,1024.0,0.8181359275000091,1001.375,1.0,0.10770821933709233,8.5159056189125e-05,5.67723046875e-05,0.984375,0.875,8.0,8.0,8.5159056189125e-05,8.5159056967e-05,5.67723052079125e-05,0.0,0.0,0.0,0.0,0.0
rgv_g3,guarded_linear,13804.5,1024.0,1024.0,1024.0,1.9195328491250052,995.625,1.0,0.09298468341858211,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,223.625,15.0,4907.375
rgv_g3,no_uncertainty_linear,13804.5,1024.0,1024.0,1024.0,1.8916091406249507,994.125,1.0,0.09149438054555216,8.5159056189125e-05,5.67723046875e-05,0.984375,0.875,8.0,8.0,8.5159056189125e-05,8.5159056967e-05,5.67723052079125e-05,0.0,0.0,195.5,15.0,4908.375
rgv_g3,nsga2_guarded,13804.5,1024.0,1024.0,1024.0,1.3541423391249907,1021.25,1.0,0.1092803905169342,0.000524291725218725,0.00032112844062500003,0.921875,0.75,8.0,8.0,0.000524291725218725,0.0005242917291844249,0.00032112844311005,0.0,0.0,322.875,15.0,6389.25
rgv_g3,nsga2_typed,13804.5,1024.0,1024.0,1024.0,0.41405032862499525,1019.125,1.0,0.1296682857897497,0.0006871499464825375,0.00031768378125,0.921875,0.875,7.875,8.0,0.0006871499464825375,0.00068714994848085,0.0003176837829533375,0.0,0.0,0.0,0.0,0.0
