task,kind,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions
job_h1,job,fast_v10,13506.5,1024.0,1024.0,1024.0,1.3036424567500073,872.6666666666666,1.0,0.08297361832730082,0.0062459135147716165,0.003922269686466183,0.8529411764705882,0.0,14.833333333333334,17.0,0.0062459135147716165,0.006245913512312883,0.00392226968668055,0.0,0.0,0.0,0.0,0.0
job_h1,job,guarded_linear,13506.5,1024.0,1024.0,1024.0,2.50273817433335,874.1666666666666,1.0,0.07938468740534373,0.0065772959552009005,0.004085795116858341,0.8431372549019608,0.0,14.666666666666666,17.0,0.0065772959552009005,0.006577295952207983,0.004085795116806641,0.0,0.0,16.166666666666668,15.0,2784.9166666666665
job_h1,job,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,2.608344773166664,875.9166666666666,1.0,0.07945677173428291,0.005276260206236834,0.003376340527546817,0.8725490196078431,0.0,14.916666666666666,17.0,0.005276260206236834,0.0052762602030511085,0.0033763405274316502,0.0,0.0,13.833333333333334,15.0,2826.8333333333335
job_h1,job,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,2.187463935666699,916.5833333333334,1.0,0.11479678036452874,0.002842481495824167,0.0019510438058823333,0.9313725490196078,0.3333333333333333,15.833333333333334,17.0,0.002842481495824167,0.002842481494477033,0.0019510438062130167,0.0,0.0,45.833333333333336,15.0,3867.5833333333335
job_h1,job,nsga2_typed,13506.5,1024.0,1024.0,1024.0,1.021815536833382,914.5,1.0,0.1337531773322864,0.0035612044100954998,0.0023742555176470503,0.9117647058823529,0.25,15.5,17.0,0.0035612044100954998,0.003561204407671425,0.0023742555175679998,0.0,0.0,0.0,0.0,0.0
job_h1,job,random_residual,13506.5,1024.0,1024.0,1024.0,2.163275297833328,872.8333333333334,1.0,0.08333224973273252,0.005487927696643926,0.003529559729017392,0.8676470588235294,0.0,15.0,17.0,0.005487927696643926,0.005487927694141058,0.003529559729117275,0.0,0.0,205.75,0.0,0.0
job_h1,job,raw_linear,13506.5,1024.0,1024.0,1024.0,2.346798155999996,884.6666666666666,1.0,0.0824664519336166,0.005611622223105424,0.003462359874701467,0.8627450980392157,0.08333333333333333,15.083333333333334,17.0,0.005611622223105424,0.005611622221210734,0.0034623598748143003,0.0,0.0,17.333333333333332,15.0,2939.5833333333335
job_h1,job,scalar_linear,13506.5,1024.0,1024.0,1024.0,2.51745821666672,865.3333333333334,1.0,0.08214613854483167,0.005276260206236834,0.003376340527546817,0.8725490196078431,0.0,14.916666666666666,17.0,0.005276260206236834,0.0052762602030511085,0.0033763405274316502,0.0,0.0,188.08333333333334,15.0,2746.9166666666665
job_h1,job,unguarded_linear,13506.5,1024.0,1024.0,1024.0,2.4519990681667045,874.1666666666666,1.0,0.07938468740534373,0.0065772959552009005,0.004085795116858341,0.8431372549019608,0.0,14.666666666666666,17.0,0.0065772959552009005,0.006577295952207983,0.004085795116806641,0.0,0.0,16.166666666666668,15.0,2784.9166666666665
job_h2,job,fast_v10,13506.5,1024.0,1024.0,1024.0,0.6175489556667154,988.0833333333334,1.0,0.1367106106507107,0.0139315801179047,0.006266743728074124,0.7126436781609194,0.0,23.833333333333332,29.0,0.0139315801179047,0.013931580120563293,0.0062667437294818586,0.0,0.0,0.0,0.0,0.0
job_h2,job,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.5941844622500032,996.5,1.0,0.10967905972427537,0.002283269540955519,0.00128507692044635,0.8764367816091955,0.0,26.416666666666668,29.0,0.002283269540955519,0.0022832695411404915,0.001285076921581975,0.0,0.0,62.5,15.0,5379.833333333333
job_h2,job,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.582952149500026,998.4166666666666,1.0,0.10660591742891774,0.004701177739036134,0.0018715388045976444,0.8764367816091955,0.0,26.75,29.0,0.004701177739036134,0.004701177740027253,0.0018715388059588453,0.0,0.0,50.5,15.0,5476.583333333333
job_h2,job,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.466996777000001,998.3333333333334,1.0,0.11617402345086003,0.0015879483640101118,0.0009011126925286909,0.8994252873563219,0.0,26.833333333333332,29.0,0.0015879483640101118,0.001587948365889016,0.0009011126947383851,0.0,0.0,79.5,15.0,5620.333333333333
job_h2,job,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.5888736989999946,999.0,1.0,0.15083525415016227,0.016907224144468026,0.007381204189225225,0.7270114942528735,0.0,24.916666666666668,29.0,0.016907224144468026,0.016907224148122908,0.00738120419057865,0.0,0.0,0.0,0.0,0.0
job_h2,job,random_residual,13506.5,1024.0,1024.0,1024.0,1.1589776903333018,996.25,1.0,0.13489474675681062,0.015860836020530483,0.007040520858925491,0.7068965517241379,0.0,24.75,29.0,0.015860836020530483,0.015860836019212392,0.0070405208569672756,0.0,0.0,528.3333333333334,0.0,0.0
job_h2,job,raw_linear,13506.5,1024.0,1024.0,1024.0,1.4212030795833357,993.1666666666666,1.0,0.12293155554137485,0.010482794761657234,0.004565212254334416,0.7729885057471265,0.0,25.25,29.0,0.010482794761657234,0.010482794761731841,0.004565212254677966,0.0,0.0,29.583333333333332,15.0,5315.833333333333
job_h2,job,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.5307109260833347,993.0833333333334,1.0,0.12086534451289344,0.005834199114073642,0.0020202068092932445,0.8879310344827586,0.25,26.666666666666668,29.0,0.005834199114073642,0.005834199114688361,0.0020202068102907786,0.0,0.0,526.25,15.0,5254.916666666667
job_h2,job,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.5355408904999688,996.5,1.0,0.10967905972427537,0.002283269540955519,0.00128507692044635,0.8764367816091955,0.0,26.416666666666668,29.0,0.002283269540955519,0.0022832695411404915,0.001285076921581975,0.0,0.0,62.5,15.0,5379.833333333333
job_h3,job,fast_v10,13506.5,1024.0,1024.0,1024.0,0.7097999926666793,984.1666666666666,1.0,0.09874901301944254,0.0011158123772280583,0.0008340937619273833,0.9347826086956522,0.08333333333333333,21.833333333333332,23.0,0.0011158123772280583,0.0011158123787257334,0.0008340937620190166,0.0,0.0,0.0,0.0,0.0
job_h3,job,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.8588130195833703,979.8333333333334,1.0,0.08262854566989834,0.0006608851704226667,0.00034640111231879167,0.9456521739130435,0.16666666666666666,21.75,23.0,0.0006608851704226667,0.0006608851731243334,0.0003464011130437083,0.0,0.0,35.75,15.0,4771.25
job_h3,job,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.7481721530000034,979.0,1.0,0.08603400171347818,0.0004807047831132881,0.00030587106784404997,0.9492753623188407,0.25,22.083333333333332,23.0,0.0004807047831132881,0.0004807047840882447,0.000305871067629825,0.0,0.0,31.583333333333332,15.0,4817.083333333333
job_h3,job,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.620856863249988,985.6666666666666,1.0,0.10382458080687708,0.00023947734414792499,0.000154317951358625,0.9710144927536232,0.5,22.416666666666668,23.0,0.00023947734414792499,0.00023947734558125834,0.00015431795162835,0.0,0.0,60.666666666666664,15.0,5187.5
job_h3,job,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.6360494300833466,987.75,1.0,0.13265970369240618,0.002422189249130908,0.0019452265721578335,0.8768115942028986,0.0,21.083333333333332,23.0,0.002422189249130908,0.002422189248843958,0.0019452265710535833,0.0,0.0,0.0,0.0,0.0
job_h3,job,random_residual,13506.5,1024.0,1024.0,1024.0,1.413019921916619,979.0833333333334,1.0,0.09780724792519735,0.0013421395417200525,0.0011698662835904416,0.9166666666666666,0.16666666666666666,21.416666666666668,23.0,0.0013421395417200525,0.00134213954356036,0.0011698662837804584,0.0,0.0,456.4166666666667,0.0,0.0
job_h3,job,raw_linear,13506.5,1024.0,1024.0,1024.0,1.5391841436666784,981.4166666666666,1.0,0.098916863113082,0.0009573348352388274,0.0007453473379528084,0.927536231884058,0.08333333333333333,21.583333333333332,23.0,0.0009573348352388274,0.0009573348373758932,0.0007453473384702917,0.0,0.0,20.166666666666668,15.0,4874.25
job_h3,job,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.8509303865000295,979.3333333333334,1.0,0.09118391749287608,0.0004920064704165191,0.00025441569230063335,0.9528985507246377,0.16666666666666666,22.0,23.0,0.0004920064704165191,0.0004920064730222765,0.00025441569300558333,0.0,0.0,470.9166666666667,15.0,4752.583333333333
job_h3,job,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.8281878191666767,979.8333333333334,1.0,0.08262854566989834,0.0006608851704226667,0.00034640111231879167,0.9456521739130435,0.16666666666666666,21.75,23.0,0.0006608851704226667,0.0006608851731243334,0.0003464011130437083,0.0,0.0,35.75,15.0,4771.25
job_h4,job,fast_v10,13506.5,1024.0,1024.0,1024.0,0.5956580151667102,996.5,1.0,0.14158593858499713,0.010605023684048066,0.0065412006783408085,0.6934523809523809,0.0,23.666666666666668,28.0,0.010605023684048066,0.01060502368203685,0.006541200674824159,0.0,0.0,0.0,0.0,0.0
