task,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd
job_n12,fast_v10,13903.5,2048.0,2048.0,2048.0,1.7301358414999488,2038.8333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.18948383239307098,0.010934236977774217,0.005548819670493591,0.7528735632183908,0.0,23.833333333333332,29.0,0.010934236977774217,0.010934236974190251,0.005548819667073274
job_n12,no_uncertainty_linear,13903.5,2048.0,2048.0,2048.0,4.330131150833343,2039.5,1.0,0.0,0.0,42.833333333333336,31.0,9705.666666666666,0.17139981826000653,0.008575116257118346,0.004097891770292582,0.8103448275862069,0.0,24.833333333333332,29.0,0.008575116257118346,0.008575116252881215,0.004097891766733486
job_n12,nsga2_guarded,13903.5,2048.0,2048.0,2048.0,4.044264778333286,2037.8333333333333,1.0,0.0,0.0,108.66666666666667,31.0,10626.166666666666,0.22650203716683173,0.00880874722704926,0.004122335151077184,0.8045977011494253,0.0,24.166666666666668,29.0,0.00880874722704926,0.008808747221230378,0.004122335146929592
job_n12,nsga2_typed,13903.5,2048.0,2048.0,2048.0,1.369830579000033,2039.1666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.26978038441592056,0.012678998396985384,0.007147422979477219,0.7126436781609194,0.0,23.333333333333332,29.0,0.012678998396985384,0.012678998394691082,0.007147422976609387
job_n16,fast_v10,13903.5,2048.0,2048.0,2048.0,0.8266195111666926,2048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2881532450323034,0.0740479129444234,0.03217949621576182,0.23076923076923075,0.0,30.666666666666668,65.0,0.07354077916566425,0.07404791295925674,0.032179496221658555
job_n16,no_uncertainty_linear,13903.5,2048.0,2048.0,2048.0,3.1154262483333546,2048.0,1.0,0.0,0.0,135.16666666666666,31.0,13650.833333333334,0.2544199004228202,0.04121501191093663,0.016487452056555416,0.3410256410256411,0.0,32.0,65.0,0.04023047385107282,0.04121501191563627,0.016487452056331568
job_n16,nsga2_guarded,13903.5,2048.0,2048.0,2048.0,3.005811201833391,2047.8333333333333,1.0,0.0,0.0,249.66666666666666,31.0,13794.333333333334,0.2572604839378695,0.020313260433208045,0.008726173364645684,0.3666666666666667,0.0,32.0,65.0,0.018020324512397972,0.02031326043929114,0.00872617336383766
job_n16,nsga2_typed,13903.5,2048.0,2048.0,2048.0,0.7375460088333435,2047.6666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.30906618897421195,0.04678918988781467,0.020375698466529767,0.258974358974359,0.0,32.0,65.0,0.045654951375244834,0.046789189896875465,0.020375698468764174
tour_n12,fast_v10,13903.5,2048.0,2048.0,2048.0,1.245767774833401,2045.1666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.25175766781448056,0.024813291112296725,0.011283800918658347,0.6952380952380953,0.0,28.333333333333332,35.0,0.024810781106736724,0.024813291102609863,0.010126488001206909
tour_n12,no_uncertainty_linear,13903.5,2048.0,2048.0,2048.0,3.622465787499967,2045.0,1.0,0.0,0.0,81.16666666666667,31.0,12013.333333333334,0.20111645232759745,0.0035600080936321853,0.002191739569242839,0.8047619047619049,0.0,29.0,35.0,0.003287595917546425,0.0035600080952819676,0.001966945767475636
tour_n12,nsga2_guarded,13903.5,2048.0,2048.0,2048.0,3.2811125293333134,2044.3333333333333,1.0,0.0,0.0,161.33333333333334,31.0,12216.166666666666,0.22433493276634453,0.0006706943815884778,0.000850250971904763,0.8190476190476191,0.0,28.833333333333332,35.0,0.0004048336713734138,0.0006706943821008791,0.0007630457454418247
tour_n12,nsga2_typed,13903.5,2048.0,2048.0,2048.0,1.0907470913333934,2044.3333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.28319852185962063,0.01119223816753151,0.005520896985577981,0.7000000000000001,0.0,27.833333333333332,35.0,0.01089946628427872,0.01119223816085438,0.004954651138162901
tour_n16,fast_v10,13903.5,2048.0,2048.0,2048.0,0.8702052123333791,2048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24921361693012764,0.05421091341714859,0.03190798118202596,0.27878787878787875,0.0,29.833333333333332,55.0,0.054132211094489395,0.05421091341657311,0.031907981181210555
tour_n16,no_uncertainty_linear,13903.5,2048.0,2048.0,2048.0,2.940389070999989,2048.0,1.0,0.0,0.0,176.16666666666666,31.0,13962.333333333334,0.21331511741142864,0.021399579538227298,0.013366995337014386,0.34848484848484845,0.0,32.0,55.0,0.02023980525561116,0.021399579538265923,0.013366995337227322
tour_n16,nsga2_guarded,13903.5,2048.0,2048.0,2048.0,3.287381696333379,2048.0,1.0,0.0,0.0,287.3333333333333,31.0,13107.833333333334,0.24783520877154497,0.015318949720252042,0.009636271361649018,0.38484848484848483,0.0,32.0,55.0,0.013723869627434977,0.015318949719692032,0.009636271358280298
tour_n16,nsga2_typed,13903.5,2048.0,2048.0,2048.0,0.8345458831666596,2048.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2954047057413534,0.04835629660580582,0.03026658264679971,0.2757575757575757,0.0,30.5,55.0,0.04831807470773717,0.048356296611152934,0.030266582646124373
